x0,x1,x2,d1
1,-1.561290322580645,1.0753246753246755,0
1,-1.518279569892473,1.355844155844156,0
1,-1.2774193548387096,1.4805194805194803,0
1,-1.0193548387096774,1.3766233766233769,0
1,-1.079569892473118,1.168831168831169,0
1,-1.1913978494623654,1.2311688311688314,0
1,-1.2516129032258063,1.0857142857142859,0
1,-1.2516129032258063,1.0857142857142859,0
1,-1.268817204301075,0.9194805194805196,0
1,-1.1053763440860214,0.825974025974026,0
1,-1.0881720430107527,0.825974025974026,0
1,-0.9419354838709677,1.0857142857142859,0
1,-0.9419354838709677,1.0857142857142859,0
1,1.260215053763441,1.1584415584415586,0
1,1.3806451612903223,1.522077922077922,0
1,1.5010752688172047,1.3766233766233769,0
1,1.7419354838709675,1.0753246753246755,0
1,1.561290322580645,0.9402597402597404,0
1,1.4150537634408606,1.1376623376623378,0
1,1.4580645161290327,0.7324675324675329,0
1,1.604301075268817,0.628571428571429,0
1,1.010752688172043,0.9610389610389611,0
1,1.0623655913978496,1.2519480519480521,0
1,1.2860215053763442,0.7844155844155845,0
1,0.41720430107526907,-1.6883116883116882,0
1,0.16774193548387117,-1.5948051948051947,0
1,-0.3053763440860213,-1.5116883116883115,0
1,-0.3999999999999999,-1.657142857142857,0
1,-0.4860215053763439,-1.8025974025974023,0
1,-0.19354838709677402,-1.8337662337662335,0
1,-0.15053763440860202,-1.6467532467532466,0
1,-0.15053763440860202,-1.6259740259740258,0
1,-0.19354838709677402,-1.3038961038961037,0
1,0.4344086021505378,-1.3350649350649348,0
1,0.3999999999999999,-1.4805194805194803,0
1,0.15053763440860246,-1.4077922077922076,0
1,-0.0903225806451613,-0.14025974025974008,1
1,-0.34838709677419333,-0.04675324675324655,1
1,-0.3311827956989246,-0.36883116883116873,1
1,-0.1763440860215053,-0.36883116883116873,1
1,0.07311827956989259,-0.36883116883116873,1
1,0.16774193548387117,-0.1194805194805193,1
1,0.16774193548387117,-0.05714285714285694,1
1,-0.14193548387096744,0.12987012987013014,1
1,0.05591397849462387,0.3064935064935068,1
1,0.30537634408602177,0.16103896103896131,1
1,0.3397849462365592,-0.14025974025974008,1
1,0.047311827956989294,0.15064935064935092,1
1,0.0903225806451613,-0.2545454545454544,1
1,0.2709677419354839,-0.36883116883116873,1
1,0.09892473118279588,-0.47272727272727266,1
